,ID,Salary,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
14,14,775000,Dammam,m,1991-01-12,87.4,cbse,2008.0,63.0,cbse,11973,1,B.Tech/B.E.,mechanical engineering,55.0,11973.0,1,Maharashtra,2013,580,555,410,0.829584599793067,-1,-1,-1,469,-1,-1,-1,-0.8772,-0.1206,-0.1437,-0.2344,-0.0943
15,15,335000,Mumbai,m,1991-09-27,93.33,icse,2009.0,76.66,cbse,8440,1,B.Tech/B.E.,,72.0,8440.0,0,Orissa,2014,650,570,750,-1.0,515,-1,-1,-1,-1,-1,-1,0.5591,0.3789,-0.1437,,0.6721
16,16,515000,-1,f,1990-03-24,86.6,board of secondary education,2007.0,92.0,board of intermediate,9775,2,B.Tech/B.E.,computer engineering,77.96,9775.0,1,Telangana,2011,495,555,425,0.793580614548506,495,-1,-1,-1,-1,-1,-1,0.8192,0.8128,0.5269,-1.4653,0.1864
17,17,650000,Bangalore,m,1987-06-01,77.5,0,2005.0,86.0,0,3395,1,MCA,computer application,67.4,3395.0,0,West Bengal,2011,345,455,435,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.3836,0.7135,0.0914,0.1477,-1.0458
18,18,240000,Rewari,f,1989-07-15,78.0,cbse,2006.0,70.1,cbse,166,2,B.Tech/B.E.,electronics and communication engineering,68.2,166.0,0,Haryana,2011,415,595,495,0.694479327708463,-1,366,-1,-1,-1,-1,-1,0.8192,-0.0842,-0.598,-0.6428,-0.6035
19,19,350000,Pune,m,1991-01-25,80.53,state board,2008.0,80.5,state board,8743,2,B.Tech/B.E.,information technology,58.61,8743.0,0,Maharashtra,2013,645,795,675,0.98374996654107,635,-1,-1,-1,-1,-1,-1,-0.4463,1.3779,0.9322,-0.995,0.8637
20,20,240000,Bangalore,f,1991-12-12,72.8,cbse,2009.0,65.6,cbse,3002,2,B.Tech/B.E.,electronics and electrical engineering,70.0,3002.0,0,Orissa,2013,545,470,380,0.112139438207403,355,228,-1,-1,-1,-1,-1,1.2772,0.7119,0.7785,-1.1218,0.6721
21,21,395000,-1,m,1985-05-11,49.9,up board,2002.0,56.1,up board,893,2,B.Tech/B.E.,computer engineering,66.26,893.0,0,Uttar Pradesh,2010,495,475,595,0.670743151433127,455,-1,-1,-1,-1,-1,-1,0.8192,1.1248,0.672,0.0623,1.1343
22,22,240000,Kolkata,m,1992-05-02,,cbse,2009.0,66.4,cbse,3801,2,B.Tech/B.E.,electronics and communication engineering,62.6,3801.0,0,Karnataka,2014,630,420,405,0.338786347219528,425,292,-1,-1,-1,-1,-1,,0.3789,0.3174,-0.1076,1.0554
23,23,360000,-1,f,1991-09-25,77.8,cbse,2009.0,79.4,cbse,1622,2,B.Tech/B.E.,computer engineering,80.0,1622.0,0,Madhya Pradesh,2013,520,655,825,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.2718,1.0449,0.01,-0.8682,0.2889
24,24,260000,Mumbai,m,1992-09-08,84.62,state board,2010.0,65.4,state board,10119,2,B.Tech/B.E.,information technology,76.0,,0,Gujarat,2014,360,510,475,0.622642915849938,445,-1,407,-1,-1,-1,-1,-0.159,-0.9531,0.9322,1.2869,-0.2859
25,25,150000,New Delhi,m,1990-04-01,80.0,cbse,2008.0,59.0,cbse,10932,2,B.Tech/B.E.,electronics and communication engineering,69.76,10932.0,0,Uttar Pradesh,2013,465,475,465,0.538386892985096,345,333,-1,-1,-1,313,-1,-1.9629,-0.1232,-0.7794,0.0622299999999999,-1.2354
26,26,325000,Bangalore,m,1992-03-26,88.4,cbse,2010.0,86.4,cbse,47,1,B.Tech/B.E.,computer science & engineering,76.0,47.0,1,Delhi,2014,605,665,605,0.916869961103619,555,-1,-1,-1,-1,-1,-1,0.4155,1.0449,1.0859,-0.995,0.2889
27,27,600000,Lucknow,m,1990-09-11,73.0,icse,2008.0,70.0,icse,6434,2,B.Tech/B.E.,computer engineering,60.0,6434.0,0,Uttarakhand,2012,505,505,355,0.165633091512476,305,-1,-1,-1,-1,-1,-1,0.3941,1.2808,1.688,-0.08457,-0.2875
28,28,115000,Gurgaon,m,1992-10-07,64.0,state board,,54.4,cbse,3427,2,B.Tech/B.E.,computer science & engineering,60.0,3427.0,0,Orissa,2013,430,485,265,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-0.3027,-0.2871,-0.7585,0.7798,-2.3415
29,29,240000,Faridabad,m,1992-08-22,80.33,cbse,2010.0,66.2,cbse,3245,2,B.Tech/B.E.,information technology,67.6,3245.0,0,Haryana,2014,395,520,500,0.23780283983757,495,-1,315,-1,-1,-1,-1,0.4155,0.7119,0.7785,,0.2889
30,30,250000,Jodhpur,m,1989-09-02,55.5,rbse,,59.38,rbse,11444,2,B.Tech/B.E.,computer engineering,64.4,11444.0,0,Rajasthan,2011,485,495,575,0.819416529835888,505,-1,-1,-1,-1,-1,-1,-0.4173,1.1248,-1.2148,,0.3444
31,31,335000,Pune,f,1992-04-04,86.8,state board,2009.0,91.7,state board,9769,2,B.Tech/B.E.,electronics and communication engineering,79.75,9769.0,1,Telangana,2013,650,585,735,0.694479327708463,-1,366,-1,-1,-1,-1,-1,,0.8784,-0.1437,-0.8682,-0.6692
32,32,320000,Indore,m,1985-09-16,52.5,up board,,51.6,cbse,3200,1,B.Tech/B.E.,electronics and electrical engineering,66.66,3200.0,1,Delhi,2010,475,445,585,0.538386892985096,405,333,-1,-1,-1,-1,-1,-0.5719,0.3448,-0.0537,1.3549,1.1343
33,33,95000,New Delhi,f,1993-09-16,71.6,cbse,2011.0,64.4,cbse,57,2,B.Tech/B.E.,information technology,71.02,,0,Haryana,2015,475,520,485,0.486747008438193,405,-1,376,-1,-1,-1,-1,-1.4517,0.3789,-0.4511,1.9207,0.0973
34,34,470000,Pune,m,1988-02-18,87.2,0,2006.0,83.0,0,223,2,B.Tech/B.E.,mechanical engineering,63.0,223.0,1,Maharashtra,2010,575,405,554,-1.0,345,333,-1,-1,-1,-1,-1,,-1.5273,-0.1988,-1.8179,-1.5513
35,35,460000,Pune,m,1988-04-01,76.0,maharashtra,,72.0,maharashtra,477,2,B.Tech/B.E.,computer engineering,58.92,477.0,1,Maharashtra,2009,355,355,545,0.488347976782714,405,-1,-1,-1,-1,-1,-1,-1.3447,-1.9953,-1.3599,0.1798,-2.0253
36,36,280000,Jaipur,m,1992-04-01,74.0,cbse,2010.0,75.0,cbse,5812,2,B.Tech/B.E.,electronics and communication engineering,65.0,5812.0,1,Rajasthan,2014,465,565,605,0.943272157866555,565,452,-1,-1,-1,-1,-1,-0.4463,0.0459,1.0859,,-1.0524
37,37,350000,Bathinda,m,1989-08-08,63.0,cbse,2007.0,61.0,cbse,272,2,B.Tech/B.E.,biotechnology,61.0,272.0,0,Punjab,2011,555,435,475,-1.0,-1,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-0.4511,-0.8682,0.2889
38,38,325000,Hyderabad,m,1992-07-31,91.8,state board,2009.0,89.0,state board,1754,2,B.Tech/B.E.,computer science & engineering,66.2,1754.0,0,Kerala,2013,675,500,575,0.744758354008939,395,-1,438,-1,-1,-1,-1,0.99,1.7109,0.1637,1.0333,1.247
39,39,345000,Navi Mumbai,f,1990-02-06,80.2,cbse,2008.0,72.0,cbse,4948,2,B.Tech/B.E.,electronics and communication engineering,72.25,4948.0,1,Rajasthan,2012,590,400,545,0.538386892985096,-1,333,-1,-1,-1,-1,-1,1.1283,1.1248,1.1074,-0.7603,0.3049
40,40,445000,Bangalore,m,1988-08-14,86.4,cbse,2005.0,79.8,cbse,2097,2,B.Tech/B.E.,computer engineering,81.9,2097.0,0,Uttar Pradesh,2011,565,585,655,0.916869961103619,555,-1,-1,-1,-1,-1,-1,-1.1901,-0.2793,0.0914,0.1798,-0.6035
41,41,180000,Noida,m,1991-03-19,75.0,cbse,2009.0,60.13,cbse,13344,2,B.Tech/B.E.,electronics and communication engineering,67.57,13344.0,0,Uttar Pradesh,2014,525,460,390,0.783303536670298,-1,388,-1,-1,-1,292,-1,1.5644,0.0459,0.01,0.2727,0.8637
42,42,100000,-1,f,1992-05-17,,state board,2009.0,95.0,state board,4726,2,B.Tech/B.E.,electronics and communication engineering,78.6,4726.0,0,Telangana,2013,405,545,450,0.649389714846691,375,356,-1,-1,-1,-1,-1,0.5591,-0.4536,0.01,-0.4879,0.6721
43,43,440000,Hyderabad,f,1992-05-14,86.0,state board,2009.0,96.0,state board,8820,2,B.Tech/B.E.,electronics and communication engineering,79.98,,1,Telangana,2013,520,610,735,0.0587928000083534,425,200,284,-1,-1,-1,-1,0.1282,-0.832,-1.2056,0.9066,-1.359
44,44,3000000,-1,m,1992-08-01,89.0,cbse,2009.0,67.0,state board,2772,2,B.Tech/B.E.,electronics and communication engineering,70.0,2772.0,0,Andhra Pradesh,2014,720,530,675,-1.0,375,-1,-1,-1,-1,-1,-1,-0.0154,0.7119,0.4711,-0.6147,0.2889
45,45,100000,Mysore,m,1992-09-21,80.64,state board,2010.0,76.5,state board,9509,2,B.Tech/B.E.,mechanical engineering,65.9,9509.0,0,Karnataka,2014,500,690,460,0.829584599793067,-1,-1,-1,469,-1,-1,-1,-0.159,-0.1206,0.3174,-0.1076,0.0973
46,46,180000,Greater Noida,m,1991-04-15,78.2,cbse,2009.0,63.6,cbse,1982,2,B.Tech/B.E.,information technology,69.43,,0,Uttar Pradesh,2013,545,570,665,0.864685413370085,525,-1,-1,-1,-1,-1,-1,0.2718,0.5454,0.3174,-0.8682,0.6721
47,47,325000,Bangalore,m,1992-02-22,76.5,cbse,2010.0,81.8,cbse,47,1,B.Tech/B.E.,computer science & engineering,76.4,47.0,1,Delhi,2014,380,645,620,0.991230625262871,675,-1,592,-1,-1,-1,-1,0.5591,1.0449,0.1637,-1.7556,0.6721
48,48,700000,Noida,m,1985-05-16,75.6,state board,2003.0,66.8,state board,400,1,M.Tech./M.E.,computer science & engineering,87.6,400.0,0,Madhya Pradesh,2013,510,640,575,0.884122511593735,535,-1,-1,-1,-1,-1,-1,0.99,1.2114,0.6248,-1.3753,0.6721
49,49,240000,Hyderabad,m,1994-03-30,87.5,state board,,92.0,state board,495,2,B.Tech/B.E.,information technology,76.47,495.0,1,Telangana,2015,430,555,500,0.916869961103619,555,-1,-1,-1,-1,-1,-1,,-0.6201,-0.4511,1.9207,-0.4776
50,50,325000,Kolkata,m,1991-06-12,81.6,cbse,2010.0,65.0,cbse,14381,2,B.Tech/B.E.,electronics and communication engineering,75.0,14381.0,1,West Bengal,2014,665,480,560,0.0531603052826837,495,196,-1,-1,-1,-1,-1,-0.0415,0.3123,0.4711,-0.7415,-0.6692
51,51,220000,Pune,m,1985-11-24,77.4,ssc,2007.0,72.48,msbte (diploma in computer technology),472,2,B.Tech/B.E.,information technology,54.75,472.0,1,Maharashtra,2010,415,475,455,0.884122511593735,535,-1,-1,-1,-1,-1,-1,-0.5719,-0.5913,-0.7794,-0.5253,0.3444
52,52,215000,New Delhi,m,1989-12-24,83.6,0,2006.0,79.6,0,11025,2,B.Tech/B.E.,biotechnology,87.6,11025.0,0,Uttar Pradesh,2011,605,515,445,-1.0,-1,-1,-1,-1,-1,-1,-1,0.3555,0.8128,-0.0537,,0.1864
53,53,300000,Mumbai,m,1991-05-10,82.6,cbse,2009.0,76.0,cbse,5815,2,B.Tech/B.E.,information technology,69.43,5815.0,0,Madhya Pradesh,2013,370,385,385,0.765673581234011,485,-1,-1,-1,-1,-1,-1,1.2772,-0.2871,-0.6048,-1.7556,-0.0943
54,54,120000,-1,f,1989-04-27,73.2,cbse,,59.0,cbse,81,2,B.Tech/B.E.,computer engineering,65.4,81.0,0,Uttar Pradesh,2011,535,525,555,0.819416529835888,505,-1,-1,-1,-1,-1,-1,0.51,-1.3713,-1.0697,-1.1128,-0.1295
55,55,485000,noida,m,1992-04-24,92.3,state board,2009.0,95.0,state board,13741,2,B.Tech/B.E.,electronics and communication engineering,80.0,13741.0,0,Andhra Pradesh,2013,465,570,680,0.694479327708463,485,366,-1,-1,-1,-1,-1,1.1336,1.5293,0.3034,-1.8824,0.9404
56,56,200000,Patna,m,1990-03-26,73.0,state board,2008.0,60.2,cbse,16522,2,B.Tech/B.E.,electronics and communication engineering,75.47,16522.0,0,Madhya Pradesh,2013,475,435,485,0.649389714846691,-1,356,-1,-1,-1,356,-1,1.1336,-1.2861,0.6248,,0.8637
57,57,280000,mohali,f,1989-10-09,79.0,icse,2008.0,74.6,cbse,5232,2,B.Tech/B.E.,computer engineering,71.2,5232.0,0,Haryana,2012,525,435,505,0.488347976782714,405,-1,-1,-1,-1,-1,-1,-1.4606,-1.0593,-0.344,1.1492,-2.3412
58,58,120000,Rourkela,f,1990-08-15,78.0,hse,2007.0,51.3,chse,11142,2,B.Tech/B.E.,computer engineering,74.8,11142.0,0,Orissa,2011,435,505,475,0.413838255788123,385,-1,-1,-1,-1,-1,-1,0.51,-0.2012,-0.2714,0.41483,-0.1295
59,59,150000,Navi Mumbai,m,1991-02-22,74.67,ssc maharashtra board,2008.0,69.5,hsc maharashtra board,13536,2,M.Tech./M.E.,other,69.0,13536.0,1,Maharashtra,2015,545,545,435,-1.0,285,-1,-1,-1,-1,-1,-1,1.59199999999999,0.7348,0.4906,-0.9953,0.1864
60,60,120000,Kolkata,m,1990-01-28,,state board,2007.0,77.2,state board,1371,2,B.Tech/B.E.,information technology,68.9,1371.0,1,West Bengal,2013,405,565,475,0.486747008438193,445,-1,376,-1,-1,-1,-1,1.3686,0.6009,0.7785,-1.2486,1.0031
61,61,145000,mohali,m,1990-07-02,84.2,0,2008.0,78.6,0,100,2,B.Tech/B.E.,electronics and communication engineering,64.45,100.0,0,Haryana,2012,525,605,595,0.376059586651545,-1,300,-1,-1,-1,-1,-1,-2.272,0.2668,-0.9245,1.0024,0.6603
62,62,270000,Bangalore,m,1989-03-27,81.92,state board,2007.0,61.46,state board,1109,2,B.Tech/B.E.,information technology,57.54,1109.0,1,Karnataka,2011,565,465,415,0.843123726665742,515,-1,-1,-1,-1,-1,-1,1.2828,1.7488,1.8331,-2.2879,1.1343
63,63,150000,CHENNAI,f,1993-10-14,93.0,state board,2010.0,89.0,state board,8895,2,B.Tech/B.E.,information technology,83.0,8895.0,0,Tamil Nadu,2014,345,495,325,0.622642915849938,445,-1,407,-1,-1,-1,-1,-0.7335,0.0459,-0.1437,1.0333,-0.8608
64,64,315000,Hyderabad,f,1993-06-04,,state board,2010.0,89.0,state board,12949,1,B.Tech/B.E.,electronics & instrumentation eng,80.0,12949.0,1,Telangana,2014,640,525,545,-1.0,-1,-1,-1,-1,-1,-1,-1,1.1336,1.0449,0.4711,-1.6289,0.8637
65,65,95000,Ernakulam,m,1988-09-15,92.0,kerala state board,2007.0,80.0,kerala state board,1275,2,B.Tech/B.E.,mechanical engineering,64.16,1275.0,0,Kerala,2011,565,375,375,0.414337426422751,-1,-1,-1,366,-1,-1,-1,0.8192,-0.2793,-0.1988,-0.6428,0.0284
66,66,370000,Noida,m,1990-06-05,58.0,state board,,66.4,state board,2541,2,B.Tech/B.E.,electronics and communication engineering,66.0,2541.0,0,Uttarakhand,2012,335,455,595,-1.0,305,-1,-1,-1,-1,-1,-1,0.8479,0.9028,-0.4899,,0.7906
67,67,630000,Bangalore,m,1988-10-03,,0,,80.4,0,1648,2,B.Tech/B.E.,electronics & telecommunications,63.6,1648.0,1,Karnataka,2010,535,475,415,0.0587928000083534,365,200,-1,-1,-1,-1,-1,-1.4992,-0.1232,0.0914,,-1.2354
68,68,325000,Bangalore ,m,1993-02-09,91.0,state board,2010.0,96.3,state board,16441,2,B.Tech/B.E.,electronics and communication engineering,74.31,16441.0,0,Andhra Pradesh,2014,475,565,705,-1.0,475,-1,-1,-1,-1,-1,-1,,1.0449,-0.2974,-2.136,-0.6692
69,69,100000,Bhubaneshwar,m,1987-06-12,45.6,bse,2007.0,73.6,chse,1268,2,MCA,computer application,85.2,1268.0,0,Orissa,2010,365,385,454,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.6646,0.3448,-1.0697,0.2973,-0.9194
70,70,330000,Chennai,m,1989-02-20,87.6,state board,2006.0,79.0,state board,439,2,B.Tech/B.E.,electronics and electrical engineering,66.0,439.0,1,Tamil Nadu,2010,455,465,605,0.694479327708463,-1,366,-1,-1,-1,-1,-1,0.51,0.1498,-0.0537,-1.23027,-0.4455
71,71,330000,pune,m,1993-01-24,76.0,state board,,89.8,state board,272,2,B.Tech/B.E.,computer science & engineering,62.0,272.0,0,Punjab,2015,595,530,630,-1.0,-1,-1,-1,-1,-1,-1,-1,0.5591,0.7119,0.01,-0.2344,0.8637
72,72,300000,Bangalore,f,1992-07-08,93.0,cbse,2010.0,89.4,cbse,13136,1,B.Tech/B.E.,,80.6,13136.0,1,Rajasthan,2014,545,585,575,0.991230625262871,575,-1,592,-1,-1,-1,-1,,1.2114,0.9322,1.5404,0.8637
73,73,330000,-1,m,1987-08-27,73.5,wbbse,2008.0,81.0,wbscte,1906,2,B.Tech/B.E.,electronics and communication engineering,73.8,1906.0,1,West Bengal,2011,415,445,615,0.376059586651545,155,300,-1,-1,-1,286,-1,-1.1901,0.9688,0.3817,0.0623,0.8183
74,74,300000,Noida,f,1992-01-14,79.0,cbse,,74.0,cbse,10932,2,B.Tech/B.E.,electronics and communication engineering,64.4,10932.0,0,Uttar Pradesh,2013,535,475,515,0.376059586651545,-1,300,-1,-1,-1,340,-1,0.2718,0.7119,0.9322,-0.3612,-0.6692
75,75,240000,Kolkata,f,1987-03-06,67.25,wbbse,2009.0,63.4,wbchse,2066,2,B.Tech/B.E.,electrical engineering,69.97,2066.0,1,West Bengal,2010,455,565,565,0.694479327708463,365,366,-1,-1,-1,-1,-1,0.9737,1.2808,0.8171,-0.0552,1.4502
76,76,305000,Coimbatore,m,1992-08-16,79.4,state board,2010.0,90.2,state board,15022,1,B.Tech/B.E.,computer science & engineering,60.2,15022.0,0,Tamil Nadu,2014,510,570,310,0.622642915849938,425,-1,407,-1,-1,-1,-1,0.7027,0.5454,-0.6048,0.5262,0.8637
77,77,600000,Banglore,m,1990-04-15,74.0,0,2008.0,63.0,0,2656,2,B.Tech/B.E.,electronics and communication engineering,65.0,2656.0,0,Haryana,2011,375,445,445,0.0233121682429863,-1,166,-1,-1,-1,260,-1,0.51,-0.7473,0.672,-0.7603,0.0284
78,78,310000,Pune,m,1991-06-10,,state board,2009.0,73.0,state board,1995,2,B.Tech/B.E.,electronics engineering,69.84,1995.0,1,Maharashtra,2014,370,520,475,-1.0,395,-1,-1,-1,-1,-1,-1,1.5644,1.7109,1.7007,-0.995,-0.8608
79,79,100000,Mumbai,f,1987-12-05,62.26,0,,78.88,0,1329,2,B.Tech/B.E.,electronics & telecommunications,60.68,1329.0,1,Maharashtra,2010,515,325,415,0.985461394326131,-1,500,-1,-1,-1,-1,-1,1.2828,-0.7473,-0.9245,0.2973,-0.9194
80,80,200000,bangalore,m,1991-08-11,94.16,state board,2009.0,95.5,state board,11000,2,B.Tech/B.E.,electronics and communication engineering,83.62,11000.0,1,Telangana,2013,380,475,575,0.538386892985096,375,333,-1,-1,473,-1,-1,0.8463,1.2114,0.1637,,1.0554
81,81,295000,Gurgaon,m,1991-04-04,75.2,state board,2009.0,84.6,state board,7376,2,B.Tech/B.E.,mechanical engineering,68.8,7376.0,0,Uttar Pradesh,2013,415,545,545,0.654107474545933,-1,-1,-1,420,-1,-1,-1,-0.5899,-1.9521,-1.0659,0.9066,-0.8608
82,82,450000,-1,f,1992-04-05,91.6,icse,,90.2,cbse,13439,2,B.Tech/B.E.,computer science & engineering,74.0,13439.0,0,Jharkhand,2014,615,610,680,0.978799292641428,495,-1,561,-1,-1,-1,-1,0.2718,0.8784,-1.6807,1.0333,0.6721
83,83,400000,Unnao,m,1986-01-04,72.0,cbse,2005.0,70.0,icse,1638,2,B.Tech/B.E.,instrumentation and control engineering,61.7,1638.0,0,Uttar Pradesh,2012,685,525,605,0.538386892985096,-1,333,-1,-1,-1,-1,-1,0.626,0.9688,-1.7954,1.1492,-0.2875
84,84,350000,Bangalore,m,1990-03-07,85.17,state board,2008.0,77.77,state board,1589,1,B.Tech/B.E.,computer science & engineering,64.1,1589.0,0,Assam,2013,545,605,825,0.842248322257836,495,-1,469,-1,-1,-1,-1,0.2718,0.8784,0.1637,0.1459,1.247
85,85,350000,Hyderabad,m,1992-01-19,84.0,cbse,,93.4,state board,7269,2,B.Tech/B.E.,electronics and communication engineering,81.0,7269.0,1,Telangana,2013,685,610,590,0.881620069530177,405,420,-1,-1,-1,446,-1,,0.8784,1.0859,-0.4879,0.6721
86,86,240000,-1,m,1989-11-05,67.33,state board,2008.0,64.0,state board,11872,1,MCA,computer application,80.0,11872.0,0,Chhattisgarh,2014,465,495,450,0.99405087195167,675,-1,-1,-1,-1,-1,-1,0.2718,-0.7866,0.6248,,-1.244
87,87,310000,Navi Mumbai,m,1991-08-20,63.4,state board,2008.0,66.6,state board,67,2,B.Tech/B.E.,computer science & engineering,64.0,67.0,0,Uttar Pradesh,2013,580,560,575,0.765673581234011,485,-1,-1,-1,-1,-1,-1,-1.0208,0.0459,0.1637,0.9066,0.4805
88,88,100000,-1,f,1992-09-20,79.6,state board,2010.0,87.2,state board,13193,2,B.Tech/B.E.,computer science & engineering,73.87,13193.0,0,Chhattisgarh,2014,370,485,320,0.911395278391328,595,-1,500,-1,-1,-1,-1,1.4208,-0.7866,0.6248,0.2727,0.4805
89,89,145000,Chennai,m,1988-12-09,66.4,state board,2006.0,67.75,state board,4173,2,MCA,computer application,76.0,4173.0,1,Tamil Nadu,2013,535,480,260,0.622642915849938,585,-1,407,-1,-1,-1,-1,,1.3779,0.4711,-1.8824,0.2889
90,90,430000,Bangalore,m,1987-03-18,57.78,sslc board,2005.0,45.5,pue,462,2,MCA,computer application,67.0,,1,Karnataka,2011,455,445,544,0.765673581234011,485,-1,-1,-1,-1,-1,-1,,-0.2793,0.0914,-1.1128,-0.1295
91,91,345000,Mumbai,f,1989-07-19,84.5,icse,2007.0,82.66,isc,6570,2,B.Tech/B.E.,electronics and electrical engineering,78.7,6570.0,0,Orissa,2011,545,445,525,0.229481754911755,465,266,-1,-1,-1,-1,-1,1.1283,1.4368,-0.344,,0.5024
92,92,105000,Hyderabad,m,1991-03-24,83.0,state board,2009.0,81.0,state board,9184,2,B.Tech/B.E.,electronics and communication engineering,65.21,9184.0,1,Telangana,2013,510,305,310,0.694479327708463,405,366,-1,-1,286,260,-1,-1.0208,-0.6201,-0.1437,1.4136,-0.0943
93,93,215000,Mysore,m,1991-06-26,80.13,state board,,69.17,state board,5696,2,B.Tech/B.E.,computer science and technology,60.34,5696.0,0,Maharashtra,2012,590,440,385,0.996744486852253,475,-1,623,-1,-1,-1,-1,-0.5899,-0.6201,0.4711,-0.3612,-0.2859
